epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,678.272,1.06449,2.42927,1.85657,0.26686,0.43635,0.23112,0.17843,0.7713,1.67097,1.56693,0.000302909,0.000302909,0.000302909
2,1312.52,0.88056,1.68985,1.73105,0.45012,0.42569,0.36839,0.29944,0.71721,1.36552,1.5572,0.000455947,0.000455947,0.000455947
3,1954.94,0.82703,1.49125,1.70871,0.62388,0.45395,0.47358,0.39376,0.67536,1.13288,1.50347,0.000458999,0.000458999,0.000458999
4,2597.05,0.76324,1.33382,1.67191,0.73975,0.46144,0.51609,0.43795,0.61423,0.99005,1.43979,0.000234068,0.000234068,0.000234068
