epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.972,0.85909,1.25611,1.66977,0.01643,0.07915,0.01035,0.0081,0.8596,5.6114,1.7602,0.000302816,0.000302816,0.000302816
2,890.865,0.71114,0.57612,1.53546,0.01645,0.07341,0.01031,0.00835,0.8466,6.41332,1.75534,0.00054584,0.00054584,0.00054584
3,1303.59,0.68116,0.5413,1.52615,0.01633,0.07768,0.01064,0.00865,0.86358,6.58355,1.76522,0.00072887,0.00072887,0.00072887
4,1705.69,0.63527,0.50569,1.48364,0.01612,0.08017,0.01077,0.00891,0.83612,6.96113,1.73947,0.000639027,0.000639027,0.000639027
5,2108.64,0.60079,0.48253,1.45511,0.01634,0.07954,0.01085,0.00918,0.80196,7.16671,1.73338,0.000549036,0.000549036,0.000549036
6,2509,0.56737,0.46128,1.42861,0.01642,0.08209,0.01064,0.00897,0.76803,7.29971,1.68691,0.000459045,0.000459045,0.000459045
7,2904.81,0.5448,0.44571,1.4099,0.01629,0.08234,0.01127,0.00963,0.78087,7.30413,1.70411,0.000369054,0.000369054,0.000369054
8,3301.61,0.51766,0.42454,1.38961,0.01644,0.08068,0.01074,0.00922,0.79631,7.44162,1.70889,0.000279063,0.000279063,0.000279063
9,3697.77,0.49279,0.41001,1.37359,0.01629,0.08126,0.0108,0.00926,0.7622,7.54144,1.71581,0.000189072,0.000189072,0.000189072
10,4099.37,0.47021,0.39701,1.34693,0.01625,0.084,0.01077,0.00939,0.78041,7.55228,1.70729,9.9081e-05,9.9081e-05,9.9081e-05
