epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1386.18,0.58908,0.84462,1.59026,0.81073,0.52434,0.56724,0.50155,0.53253,0.82502,1.41365,0.00030297,0.00030297,0.00030297
2,2725.83,0.61651,0.88774,1.60554,0.81872,0.52684,0.5723,0.50264,0.55166,0.78154,1.41699,0.000505985,0.000505985,0.000505985
3,4064.64,0.61058,0.8977,1.6011,0.81669,0.52793,0.57574,0.50554,0.53975,0.78754,1.43037,0.00060901,0.00060901,0.00060901
4,5403.87,0.5977,0.86985,1.59065,0.81473,0.5289,0.57911,0.50985,0.53138,0.77491,1.41247,0.000459045,0.000459045,0.000459045
5,6735.3,0.57681,0.82994,1.57646,0.82595,0.53033,0.57791,0.51224,0.51584,0.75885,1.41783,0.00030906,0.00030906,0.00030906
6,8064.04,0.55429,0.78576,1.5511,0.83259,0.5312,0.58349,0.52303,0.48426,0.73844,1.37636,0.000159075,0.000159075,0.000159075
