epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,383.717,1.05336,2.40377,1.83951,0.37874,0.41038,0.29138,0.22831,0.77311,1.50207,1.59629,0.000302816,0.000302816,0.000302816
2,743.426,0.88268,1.56752,1.7101,0.62956,0.43003,0.45245,0.36245,0.7365,1.17,1.56092,0.00058868,0.00058868,0.00058868
3,1094.24,0.85627,1.3933,1.70783,0.67384,0.44414,0.48161,0.3873,0.73892,1.09353,1.54051,0.000857403,0.000857403,0.000857403
4,1444.65,0.82316,1.29964,1.69232,0.71362,0.45867,0.49925,0.40974,0.67937,0.99328,1.48139,0.000831865,0.000831865,0.000831865
5,1786.71,0.79116,1.21438,1.67454,0.76468,0.46974,0.52443,0.44013,0.65975,0.91547,1.48279,0.000806153,0.000806153,0.000806153
6,2132.48,0.76149,1.15462,1.64922,0.77321,0.494,0.53946,0.45693,0.62651,0.85502,1.4528,0.000780441,0.000780441,0.000780441
7,2467.09,0.73943,1.10224,1.63998,0.79048,0.50209,0.55221,0.46983,0.60411,0.80738,1.43741,0.00075473,0.00075473,0.00075473
8,2817.45,0.72373,1.0721,1.63226,0.79772,0.51172,0.55823,0.47802,0.5993,0.77629,1.43482,0.000729018,0.000729018,0.000729018
9,3166.67,0.71229,1.0549,1.63021,0.79722,0.51283,0.55546,0.47845,0.58631,0.78415,1.41636,0.000703306,0.000703306,0.000703306
10,3510.81,0.7008,1.02007,1.61462,0.78895,0.51012,0.55498,0.47813,0.57463,0.79482,1.40214,0.000677595,0.000677595,0.000677595
11,3860.34,0.68748,0.99525,1.60961,0.80593,0.52203,0.56539,0.49243,0.56246,0.74338,1.39973,0.000651883,0.000651883,0.000651883
12,4217.1,0.66848,0.9735,1.58118,0.80812,0.51732,0.57025,0.4961,0.55264,0.73809,1.38536,0.000626171,0.000626171,0.000626171
13,4563.54,0.66861,0.95237,1.59074,0.82983,0.51763,0.57311,0.50116,0.54592,0.72286,1.39119,0.000600459,0.000600459,0.000600459
14,4908.77,0.65161,0.9303,1.56914,0.83588,0.52931,0.57933,0.50892,0.53677,0.67675,1.36225,0.000574748,0.000574748,0.000574748
15,5258.35,0.65259,0.92341,1.5828,0.84961,0.52857,0.58231,0.51038,0.53205,0.67294,1.36,0.000549036,0.000549036,0.000549036
16,5596.48,0.64215,0.91271,1.567,0.83094,0.52339,0.57563,0.50716,0.50709,0.69983,1.35669,0.000523324,0.000523324,0.000523324
17,5936.62,0.63668,0.89777,1.56906,0.82916,0.52817,0.58111,0.51306,0.50525,0.69277,1.35642,0.000497613,0.000497613,0.000497613
18,6274.8,0.6269,0.88678,1.55958,0.86448,0.53013,0.58907,0.51856,0.51615,0.6439,1.36399,0.000471901,0.000471901,0.000471901
19,6615.43,0.61875,0.86923,1.55843,0.8551,0.52602,0.58252,0.51753,0.48867,0.65392,1.32938,0.000446189,0.000446189,0.000446189
20,6952.12,0.61184,0.86214,1.5421,0.83349,0.5376,0.5887,0.52489,0.48662,0.65887,1.33553,0.000420477,0.000420477,0.000420477
21,7282.85,0.60433,0.84709,1.54226,0.85502,0.53723,0.59043,0.52633,0.48271,0.63045,1.33144,0.000394766,0.000394766,0.000394766
22,7613.29,0.59482,0.82199,1.52411,0.85636,0.53725,0.59031,0.52624,0.48473,0.62398,1.32062,0.000369054,0.000369054,0.000369054
23,7945.09,0.5886,0.82021,1.5236,0.84791,0.53921,0.58893,0.52488,0.47343,0.63253,1.31214,0.000343342,0.000343342,0.000343342
24,8277.63,0.58678,0.80887,1.51922,0.86088,0.53925,0.59065,0.52813,0.4679,0.61525,1.31115,0.000317631,0.000317631,0.000317631
25,8608.97,0.58543,0.80761,1.51687,0.87087,0.53642,0.59385,0.53117,0.46057,0.60768,1.2997,0.000291919,0.000291919,0.000291919
26,8980.64,0.48642,0.65649,1.37184,0.86238,0.54014,0.59353,0.5329,0.45507,0.61614,1.30121,0.000266207,0.000266207,0.000266207
27,9313.17,0.4704,0.64294,1.35571,0.85319,0.5449,0.59848,0.53771,0.45079,0.60068,1.29924,0.000240495,0.000240495,0.000240495
28,9644.2,0.46322,0.62799,1.34392,0.86008,0.54184,0.59983,0.53965,0.44594,0.59886,1.28831,0.000214784,0.000214784,0.000214784
29,9976.4,0.45204,0.61253,1.33047,0.86152,0.54348,0.59933,0.54052,0.43887,0.59236,1.27206,0.000189072,0.000189072,0.000189072
30,10309.5,0.4499,0.6017,1.33107,0.86232,0.54253,0.59841,0.54088,0.42946,0.59356,1.28224,0.00016336,0.00016336,0.00016336
31,10642.1,0.44175,0.59325,1.32844,0.86511,0.54672,0.60196,0.54519,0.42509,0.57847,1.27693,0.000137649,0.000137649,0.000137649
32,10974.6,0.43793,0.58274,1.33082,0.87706,0.54164,0.60288,0.54574,0.42364,0.57673,1.27909,0.000111937,0.000111937,0.000111937
33,11306.1,0.43083,0.57788,1.32142,0.86299,0.55084,0.60376,0.5472,0.41786,0.56937,1.27114,8.62251e-05,8.62251e-05,8.62251e-05
34,11638.3,0.42777,0.57571,1.31439,0.86158,0.55272,0.6044,0.54867,0.41459,0.56734,1.26617,6.05134e-05,6.05134e-05,6.05134e-05
35,11971.2,0.41699,0.55586,1.30358,0.86547,0.55128,0.60534,0.5499,0.41417,0.56319,1.2648,3.48017e-05,3.48017e-05,3.48017e-05
