epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1726.43,0.89081,2.38039,1.72494,0.15758,0.44681,0.13929,0.10992,0.77265,1.95303,1.60684,0.00030297,0.00030297,0.00030297
2,3355.33,0.76234,1.70237,1.62622,0.22095,0.44723,0.21552,0.16828,0.80845,1.70414,1.62552,0.000545979,0.000545979,0.000545979
3,4995.6,0.735,1.57405,1.60002,0.23558,0.42143,0.23104,0.18984,0.76397,1.72334,1.63015,0.000728994,0.000728994,0.000728994
