epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5230.3,0.54308,0.72818,1.5193,0.88754,0.56066,0.61378,0.55753,0.41415,0.5431,1.29938,0.005842,0.005842,0.005842
44,5787.36,0.54906,0.72244,1.52722,0.88747,0.55865,0.61298,0.55607,0.41646,0.53976,1.31312,0.005743,0.005743,0.005743
45,6330.04,0.54084,0.7122,1.51346,0.88588,0.55721,0.61589,0.55995,0.41339,0.53758,1.30578,0.005644,0.005644,0.005644
46,6854.29,0.54215,0.71487,1.51238,0.88309,0.56298,0.61712,0.56096,0.40731,0.53604,1.29148,0.005545,0.005545,0.005545
47,7379.88,0.53699,0.71411,1.5098,0.89082,0.55973,0.61626,0.55972,0.41203,0.53312,1.30538,0.005446,0.005446,0.005446
48,7903.15,0.53367,0.70309,1.50271,0.89097,0.56265,0.61696,0.5617,0.40719,0.52985,1.29617,0.005347,0.005347,0.005347
49,8426.67,0.5327,0.70174,1.49843,0.88603,0.56184,0.61532,0.56093,0.40335,0.53524,1.28724,0.005248,0.005248,0.005248
50,8953.74,0.52825,0.69564,1.49763,0.89236,0.56225,0.61741,0.56286,0.40349,0.52989,1.30037,0.005149,0.005149,0.005149
51,9486.71,0.52507,0.69079,1.49297,0.87809,0.56563,0.6194,0.56482,0.4029,0.52915,1.29616,0.00505,0.00505,0.00505
52,10014.9,0.52006,0.67886,1.48936,0.88878,0.56365,0.61942,0.56598,0.39693,0.52477,1.27944,0.004951,0.004951,0.004951
53,10538.9,0.52037,0.68347,1.48834,0.89157,0.56347,0.62023,0.56721,0.39553,0.52256,1.2815,0.004852,0.004852,0.004852
54,11066.1,0.51751,0.68177,1.4842,0.88994,0.56557,0.62052,0.56747,0.39203,0.51881,1.28079,0.004753,0.004753,0.004753
55,11592,0.52066,0.67546,1.49365,0.8806,0.57106,0.62087,0.56864,0.39117,0.51536,1.27671,0.004654,0.004654,0.004654
56,12115.8,0.50852,0.67307,1.47657,0.87825,0.57011,0.62206,0.56951,0.39245,0.5132,1.2762,0.004555,0.004555,0.004555
57,12637.8,0.50771,0.66522,1.47535,0.89044,0.56361,0.62101,0.56814,0.39305,0.51797,1.2814,0.004456,0.004456,0.004456
58,13162.8,0.51325,0.67316,1.47679,0.88745,0.56654,0.62018,0.5682,0.38843,0.51688,1.28059,0.004357,0.004357,0.004357
59,13688,0.50825,0.66282,1.47587,0.89052,0.57038,0.62156,0.56954,0.38687,0.50974,1.27672,0.004258,0.004258,0.004258
60,14213.6,0.50409,0.65132,1.47186,0.89408,0.56566,0.62237,0.57038,0.38497,0.51067,1.26972,0.004159,0.004159,0.004159
61,14738.3,0.49762,0.6544,1.45984,0.90149,0.56484,0.62208,0.5698,0.38487,0.50802,1.27442,0.00406,0.00406,0.00406
62,15262.2,0.49644,0.64437,1.46801,0.9029,0.56575,0.62229,0.57034,0.38455,0.50708,1.27489,0.003961,0.003961,0.003961
63,15787.8,0.49887,0.64974,1.47275,0.90469,0.56408,0.62343,0.57223,0.38336,0.50373,1.27354,0.003862,0.003862,0.003862
64,16312.9,0.50088,0.64907,1.46808,0.90242,0.56604,0.62437,0.5727,0.38177,0.50261,1.26992,0.003763,0.003763,0.003763
65,16836.6,0.49458,0.64313,1.46899,0.89517,0.56961,0.62473,0.57245,0.38259,0.50202,1.27187,0.003664,0.003664,0.003664
66,17359.2,0.48701,0.63408,1.45534,0.89067,0.57172,0.62447,0.57314,0.38142,0.49906,1.27065,0.003565,0.003565,0.003565
67,17886.1,0.48714,0.62403,1.4565,0.8973,0.57205,0.62553,0.5743,0.37833,0.49631,1.26781,0.003466,0.003466,0.003466
68,18410.1,0.4865,0.62661,1.45885,0.89426,0.57284,0.62525,0.57396,0.37702,0.49398,1.26371,0.003367,0.003367,0.003367
69,18936,0.49007,0.63697,1.46576,0.89457,0.57282,0.62555,0.57419,0.37521,0.4914,1.26503,0.003268,0.003268,0.003268
70,19462.5,0.48487,0.63175,1.46032,0.90126,0.5696,0.62552,0.57485,0.37491,0.48978,1.26629,0.003169,0.003169,0.003169
71,19993.2,0.48703,0.63038,1.45939,0.89598,0.57226,0.62622,0.57589,0.37299,0.48697,1.26499,0.00307,0.00307,0.00307
72,20534.5,0.4849,0.62913,1.45842,0.89718,0.57336,0.62715,0.57694,0.37197,0.48755,1.2636,0.002971,0.002971,0.002971
