epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,616.17,1.00063,1.06262,1.81684,0.95581,0.61492,0.64965,0.52067,0.8007,0.5762,1.6165,0.000666329,0.000666329,0.000666329
2,1149.86,0.89415,0.75574,1.77455,0.93517,0.61987,0.65426,0.53455,0.73483,0.5942,1.5959,0.00128901,0.00128901,0.00128901
3,1647.02,0.86754,0.72698,1.76658,0.94998,0.61871,0.65678,0.54443,0.72204,0.54956,1.56852,0.00186768,0.00186768,0.00186768
4,2139.14,0.81772,0.69076,1.72465,0.94565,0.628,0.66199,0.56328,0.62663,0.52174,1.46606,0.001802,0.001802,0.001802
5,2634.33,0.77443,0.66189,1.70153,0.95309,0.63716,0.66874,0.57102,0.61337,0.49299,1.48277,0.001736,0.001736,0.001736
6,3126.55,0.75103,0.63838,1.67776,0.94883,0.63382,0.6688,0.57209,0.62038,0.47868,1.48581,0.00167,0.00167,0.00167
7,3619.33,0.73039,0.62179,1.66333,0.95571,0.63572,0.67021,0.57922,0.57334,0.48912,1.44231,0.001604,0.001604,0.001604
8,4111.44,0.70765,0.60477,1.64351,0.96184,0.63915,0.67212,0.58376,0.56537,0.47115,1.41128,0.001538,0.001538,0.001538
9,4604.2,0.6901,0.59427,1.62837,0.96048,0.63758,0.67316,0.58569,0.55064,0.44136,1.39486,0.001472,0.001472,0.001472
10,5098.81,0.68032,0.58223,1.62615,0.96062,0.64496,0.6802,0.59856,0.52561,0.43541,1.36958,0.001406,0.001406,0.001406
11,5590.34,0.6599,0.56057,1.60213,0.96101,0.64204,0.67734,0.59797,0.52007,0.42665,1.36352,0.00134,0.00134,0.00134
12,6082.07,0.64859,0.55557,1.59226,0.96394,0.64242,0.67942,0.60196,0.50575,0.41555,1.34662,0.001274,0.001274,0.001274
13,6573.17,0.64001,0.55001,1.58603,0.96406,0.64369,0.67849,0.60249,0.49747,0.42082,1.33864,0.001208,0.001208,0.001208
14,7064.99,0.6298,0.54803,1.58096,0.95849,0.64675,0.68091,0.60684,0.48872,0.41395,1.32836,0.001142,0.001142,0.001142
15,7556.78,0.6196,0.53987,1.57652,0.96411,0.64403,0.68027,0.60897,0.4844,0.40959,1.33292,0.001076,0.001076,0.001076
16,8048.51,0.60952,0.52275,1.56196,0.96247,0.64596,0.68545,0.61453,0.47436,0.39438,1.31285,0.00101,0.00101,0.00101
17,8540.1,0.59866,0.51754,1.5532,0.96534,0.6446,0.68561,0.6179,0.46085,0.38518,1.30963,0.000944,0.000944,0.000944
18,9030.29,0.58949,0.51264,1.54655,0.96776,0.64865,0.6898,0.62236,0.45565,0.38088,1.30543,0.000878,0.000878,0.000878
19,9523.45,0.58205,0.50289,1.54139,0.96426,0.64977,0.68353,0.61577,0.45016,0.38924,1.29392,0.000812,0.000812,0.000812
20,10015.8,0.58103,0.50498,1.53831,0.96528,0.65205,0.69316,0.62627,0.43707,0.37282,1.28425,0.000746,0.000746,0.000746
21,10541.5,0.48561,0.39983,1.38896,0.96921,0.65243,0.70579,0.64203,0.43303,0.36523,1.2724,0.00068,0.00068,0.00068
22,11032.6,0.47296,0.39152,1.37006,0.96642,0.65288,0.70013,0.63762,0.42353,0.36645,1.27354,0.000614,0.000614,0.000614
23,11522.3,0.46198,0.3893,1.36233,0.96626,0.65432,0.70706,0.64766,0.40766,0.35676,1.2538,0.000548,0.000548,0.000548
24,12011.4,0.45524,0.38006,1.35302,0.96575,0.65406,0.69995,0.64044,0.40505,0.35348,1.25437,0.000482,0.000482,0.000482
25,12502.8,0.44437,0.3748,1.34342,0.97037,0.65365,0.70754,0.64969,0.39575,0.34589,1.24688,0.000416,0.000416,0.000416
26,12993.3,0.43305,0.36875,1.33223,0.97361,0.65368,0.70174,0.64401,0.39116,0.34343,1.23815,0.00035,0.00035,0.00035
27,13481.7,0.42289,0.36158,1.3176,0.97305,0.65436,0.70284,0.648,0.38236,0.3382,1.22973,0.000284,0.000284,0.000284
28,14001.1,0.41698,0.35822,1.31601,0.97192,0.6549,0.70167,0.64664,0.37574,0.3348,1.22273,0.000218,0.000218,0.000218
29,14578.3,0.40909,0.35253,1.30649,0.97142,0.65655,0.70667,0.653,0.36996,0.32991,1.21798,0.000152,0.000152,0.000152
30,15117.9,0.40387,0.34837,1.30203,0.97148,0.65688,0.70606,0.65319,0.3652,0.32465,1.21127,8.6e-05,8.6e-05,8.6e-05
