epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,359.092,0.98099,1.13963,1.7883,0.93365,0.60957,0.64543,0.51733,0.77694,0.58921,1.63238,0.000665586,0.000665586,0.000665586
2,681.771,0.86347,0.72476,1.72721,0.93317,0.6174,0.6467,0.52367,0.75321,0.59064,1.58612,0.00126631,0.00126631,0.00126631
3,1009.76,0.82792,0.6978,1.71399,0.94423,0.62461,0.65964,0.55114,0.67954,0.53887,1.49408,0.00180103,0.00180103,0.00180103
4,1328.56,0.79408,0.67453,1.6973,0.94429,0.63126,0.66502,0.56079,0.65979,0.51593,1.473,0.001703,0.001703,0.001703
5,1645.52,0.75669,0.63783,1.66874,0.94283,0.63289,0.66592,0.56984,0.62208,0.49458,1.46622,0.001604,0.001604,0.001604
6,1966.17,0.72478,0.61468,1.64784,0.95921,0.63905,0.67094,0.57481,0.60755,0.4673,1.43614,0.001505,0.001505,0.001505
7,2284.85,0.69484,0.59211,1.61963,0.95738,0.63876,0.67705,0.58954,0.56756,0.46517,1.4358,0.001406,0.001406,0.001406
8,2589.71,0.66871,0.56662,1.605,0.95785,0.64476,0.67755,0.59013,0.55512,0.45899,1.40037,0.001307,0.001307,0.001307
9,2881.19,0.65215,0.55466,1.58677,0.96364,0.64014,0.67201,0.59322,0.53742,0.43994,1.37532,0.001208,0.001208,0.001208
10,3171.47,0.63431,0.54129,1.57625,0.96631,0.64508,0.67546,0.59362,0.53416,0.42802,1.37638,0.001109,0.001109,0.001109
11,3504.14,0.55,0.44877,1.44032,0.95989,0.64387,0.68808,0.60997,0.49895,0.41734,1.35717,0.00101,0.00101,0.00101
12,3793.7,0.52365,0.43047,1.41395,0.9685,0.64909,0.6991,0.62364,0.49276,0.39567,1.31365,0.000911,0.000911,0.000911
13,4084.34,0.51068,0.42313,1.39723,0.9658,0.65015,0.69482,0.62291,0.47425,0.38651,1.30539,0.000812,0.000812,0.000812
14,4373.03,0.49031,0.40393,1.3784,0.96465,0.65057,0.69407,0.62605,0.44884,0.37827,1.29967,0.000713,0.000713,0.000713
15,4662.53,0.47398,0.39615,1.35934,0.96071,0.64935,0.6976,0.63327,0.43366,0.36959,1.28537,0.000614,0.000614,0.000614
16,4950.29,0.46155,0.38559,1.3525,0.9615,0.65312,0.6995,0.63394,0.43388,0.36396,1.27222,0.000515,0.000515,0.000515
17,5238.5,0.44856,0.37628,1.34417,0.96448,0.65161,0.69923,0.6373,0.4142,0.35269,1.24965,0.000416,0.000416,0.000416
18,5526.11,0.43785,0.36698,1.33028,0.96904,0.65362,0.69939,0.638,0.40731,0.34897,1.24321,0.000317,0.000317,0.000317
19,5813.53,0.42176,0.3577,1.3156,0.96849,0.65388,0.70144,0.64229,0.39506,0.33955,1.23908,0.000218,0.000218,0.000218
20,6102.38,0.41122,0.35267,1.31011,0.97038,0.6559,0.70331,0.64613,0.3828,0.33365,1.22838,0.000119,0.000119,0.000119
