epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,370.644,0.98099,1.13963,1.7883,0.93365,0.60957,0.64543,0.51733,0.77694,0.58921,1.63238,0.000665586,0.000665586,0.000665586
2,724.77,0.82164,0.69231,1.69607,0.94079,0.62503,0.65997,0.54271,0.70506,0.54826,1.50899,0.000892609,0.000892609,0.000892609
3,1074.12,0.73791,0.62828,1.6445,0.95045,0.63953,0.66945,0.57975,0.58474,0.45603,1.40338,0.000679633,0.000679633,0.000679633
